DATE,USALORSGPNOSTSAM
2007-12-01,101.8125098
2008-01-01,101.7801281
2008-02-01,101.7459877
2008-03-01,101.7131528
2008-04-01,101.6637462
2008-05-01,101.5685155
2008-06-01,101.3977696
2008-07-01,101.1357193
2008-08-01,100.7779173
2008-09-01,100.3351772
2008-10-01,99.8440816
2008-11-01,99.35015647
2008-12-01,98.89496789
2009-01-01,98.50395648
2009-02-01,98.19281481
2009-03-01,97.96914653
2009-04-01,97.82830426
2009-05-01,97.76251377
2009-06-01,97.76386837
2009-07-01,97.82185266
2009-08-01,97.92629747
2009-09-01,98.0661739
2009-10-01,98.22493105
2009-11-01,98.38695968
2009-12-01,98.54261623
2010-01-01,98.69291357
2010-02-01,98.84359466
2010-03-01,98.99939114
2010-04-01,99.15805463
2010-05-01,99.31310928
2010-06-01,99.45624327
2010-07-01,99.57980595
2010-08-01,99.67632416
2010-09-01,99.73925454
2010-10-01,99.76550714
2010-11-01,99.75526728
2010-12-01,99.71425982
2011-01-01,99.65842896
2011-02-01,99.60554247
2011-03-01,99.56774925
2011-04-01,99.54381729
2011-05-01,99.52840508
2011-06-01,99.52012722
2011-07-01,99.52882313
2011-08-01,99.56800655
2011-09-01,99.64596696
2011-10-01,99.75449387
2011-11-01,99.87765024
2011-12-01,99.99815426
2012-01-01,100.1025691
2012-02-01,100.1807243
2012-03-01,100.2261311
2012-04-01,100.2381117
2012-05-01,100.2189799
2012-06-01,100.1734596
2012-07-01,100.1101835
2012-08-01,100.0393628
2012-09-01,99.97162272
2012-10-01,99.91728098
2012-11-01,99.88401772
2012-12-01,99.87348769
2013-01-01,99.87630375
2013-02-01,99.88036729
2013-03-01,99.87808403
2013-04-01,99.8733491
2013-05-01,99.87446934
2013-06-01,99.8871666
2013-07-01,99.90706621
2013-08-01,99.92425819
2013-09-01,99.92721639
2013-10-01,99.90680276
2013-11-01,99.85969866
2013-12-01,99.7933796
2014-01-01,99.73284431
2014-02-01,99.70756811
2014-03-01,99.73809186
2014-04-01,99.82004306
2014-05-01,99.93648892
2014-06-01,100.0663701
2014-07-01,100.1903608
2014-08-01,100.2936555
2014-09-01,100.3691138
2014-10-01,100.4217889
2014-11-01,100.4612369
2014-12-01,100.4953719
2015-01-01,100.5252223
2015-02-01,100.5473852
2015-03-01,100.556737
2015-04-01,100.5496431
2015-05-01,100.5234807
2015-06-01,100.4773055
2015-07-01,100.4138484
2015-08-01,100.3378238
2015-09-01,100.255469
2015-10-01,100.174979
2015-11-01,100.1038707
2015-12-01,100.0462374
2016-01-01,99.99934914
2016-02-01,99.95813682
2016-03-01,99.91886896
2016-04-01,99.88239382
2016-05-01,99.85157317
2016-06-01,99.8285249
2016-07-01,99.81146815
2016-08-01,99.79698242
2016-09-01,99.78181838
2016-10-01,99.76451034
2016-11-01,99.74502316
2016-12-01,99.72455133
2017-01-01,99.70547476
2017-02-01,99.69094043
2017-03-01,99.68435167
2017-04-01,99.68854176
2017-05-01,99.70617936
