new_construction
107.3
121.8
153.7
138.9
148.9
155.1
129.8
146.8
131.4
134.8
121.0
102.9
117.0
114.3
147.7
148.6
159.8
153.9
140.6
151.4
125.2
140.2
124.4
113.6
115.7
122.5
143.2
156.0
164.2
158.0
159.3
153.7
149.5
162.9
126.8
135.8
126.4
128.5
148.4
167.6
169.5
175.8
173.0
169.9
169.1
182.8
130.5
147.9
132.0
137.1
190.7
192.5
188.4
197.1
185.9
185.2
174.9
174.5
156.4
155.2
139.7
149.4
190.5
193.2
193.1
211.9
185.5
208.0
193.7
176.0
162.9
151.3
152.6
151.0
194.2
168.6
184.4
184.2
148.0
161.2
136.6
133.1
111.4
113.6
114.1
112.1
139.4
130.9
146.0
135.6
122.5
126.0
100.5
103.8
89.5
77.8
77.4
75.0
79.1
91.5
92.3
110.6
85.9
76.3
70.9
63.7
41.5
41.2
37.6
39.2
45.4
47.8
49.5
61.3
56.1
54.0
52.9
47.9
42.1
49.2
40.4
45.3
64.1
58.9
51.1
59.2
51.6
53.7
48.5
43.5
40.9
47.6
36.3
37.7
54.4
50.7
57.3
63.8
52.6
62.6
53.2
52.0
51.9
51.6
47.8
53.5
69.5
64.1
77.7
75.9
74.1
80.0
73.7
77.5
68.7
67.2
65.5
67.8
77.7
92.8
97.2
85.7
90.2
87.1
83.1
92.5
73.5
77.8
68.6
72.3
86.3
99.1
93.8
95.7
97.1
90.3
92.7
98.4
72.8
85.0
71.0
78.6
92.5
106.0
111.9
134.8
103.2
98.4
98.3
99.3
91.0
97.5
76.2
86.3
99.8
101.9
110.3
117.6
97.9
111.6
111.7
104.0
94.5
94.8
90.6
86.9
115.3
105.0
115.3
130.8
102.9
122.1
103.3
116.3
98.8
94.8
98.4
93.4
119.4
121.5
126.9
123.3
114.5
118.2
100.4
113.9
102.3
96.6
96.0
91.2
107.8
121.2
127.0
113.8
121.9
131.5
118.3
135.8
111.0
110.7
116.4
